--------------------------------	
Land-atmosphere d13C fractionation	
Using CO2 from CMIP6-Meinshausen and SSP3-Baseline
	
frac is following schubert & jahren 2015, shifted 
to be -17 per mil in 1850
	
HDG 13 Nov 18
--------------------------------	
1909.50000000000	-17.2692951172268
1910.50000000000	-17.2771475439437
1911.50000000000	-17.2851803065677
1912.50000000000	-17.2944729019680
1913.50000000000	-17.3043267837246
1914.50000000000	-17.3133099915612
1915.50000000000	-17.3224317297784
1916.50000000000	-17.3320586109750
1917.50000000000	-17.3412789484047
1918.50000000000	-17.3489392864347
1919.50000000000	-17.3553121588227
1920.50000000000	-17.3628407450761
1921.50000000000	-17.3689999935852
1922.50000000000	-17.3749933063034
1923.50000000000	-17.3806475553447
1924.50000000000	-17.3868661366813
1925.50000000000	-17.3900318665604
1926.50000000000	-17.3924697900232
1927.50000000000	-17.3963217329012
1928.50000000000	-17.3989448985319
1929.50000000000	-17.4018084078195
1930.50000000000	-17.4039623487167
1931.50000000000	-17.4074422686247
1932.50000000000	-17.4121053748837
1933.50000000000	-17.4174159843563
1934.50000000000	-17.4239878939319
1935.50000000000	-17.4315591414402
1936.50000000000	-17.4449689337452
1937.50000000000	-17.4577725966127
1938.50000000000	-17.4667715694838
1939.50000000000	-17.4762062794094
1940.50000000000	-17.4847581113787
1941.50000000000	-17.4924152464717
1942.50000000000	-17.4984935378701
1943.50000000000	-17.5021588710895
1944.50000000000	-17.5025455835676
1945.50000000000	-17.5020748346302
1946.50000000000	-17.5021583668761
1947.50000000000	-17.5037716845241
1948.50000000000	-17.5043598142185
1949.50000000000	-17.5062232356588
1950.50000000000	-17.5093955209894
1951.50000000000	-17.5126324457815
1952.50000000000	-17.5181265320338
1953.50000000000	-17.5246151488119
1954.50000000000	-17.5307095820731
1955.50000000000	-17.5360451186268
1956.50000000000	-17.5407578271439
1957.50000000000	-17.5456473247771
1958.50000000000	-17.5515099267617
1959.50000000000	-17.5591696022475
1960.50000000000	-17.5726945605630
1961.50000000000	-17.5838025934119
1962.50000000000	-17.5960440858471
1963.50000000000	-17.6059727063651
1964.50000000000	-17.6171329995221
1965.50000000000	-17.6250050623705
1966.50000000000	-17.6422901558179
1967.50000000000	-17.6520041716001
1968.50000000000	-17.6666731483379
1969.50000000000	-17.6805318649046
1970.50000000000	-17.7050394935807
1971.50000000000	-17.7148641238666
1972.50000000000	-17.7457361207107
1973.50000000000	-17.7859058799119
1974.50000000000	-17.7991030045648
1975.50000000000	-17.8002068312298
1976.50000000000	-17.8113547226659
1977.50000000000	-17.8392793696990
1978.50000000000	-17.8646901545637
1979.50000000000	-17.8889873165767
1980.50000000000	-17.9207362991728
1981.50000000000	-17.9410634389516
1982.50000000000	-17.9498116011057
1983.50000000000	-17.9739582824431
1984.50000000000	-17.9997150433676
1985.50000000000	-18.0210322073004
1986.50000000000	-18.0421232265358
1987.50000000000	-18.0692843854865
1988.50000000000	-18.1052568274257
1989.50000000000	-18.1283394870566
1990.50000000000	-18.1450670071309
1991.50000000000	-18.1631383557672
1992.50000000000	-18.1754533743723
1993.50000000000	-18.1852083222045
1994.50000000000	-18.2037617960593
1995.50000000000	-18.2312916240319
1996.50000000000	-18.2556072125411
1997.50000000000	-18.2726757364116
1998.50000000000	-18.3090948471702
1999.50000000000	-18.3348386909128
2000.50000000000	-18.3519673910785
2001.50000000000	-18.3725704071060
2002.50000000000	-18.4011424136162
2003.50000000000	-18.4348795894739
2004.50000000000	-18.4553588656110
2005.50000000000	-18.4801437824735
2006.50000000000	-18.5070849198256
2007.50000000000	-18.5273520013650
2008.50000000000	-18.5543394440011
2009.50000000000	-18.5736755416475
2010.50000000000	-18.6040308997564
2011.50000000000	-18.6315321497401
2012.50000000000	-18.6569165233933
2013.50000000000	-18.6898167260057
2014.50000000000	-18.7117619026373
2015.50000000000	-18.7404649757030
2016.50000000000	-18.7779573402824
2017.50000000000	-18.8095228338263
2018.50000000000	-18.8445104824081
2019.50000000000	-18.8802065387223
2020.50000000000	-18.9165821070280
2021.50000000000	-18.9536293189656
2022.50000000000	-18.9910866383621
2023.50000000000	-19.0287365282664
2024.50000000000	-19.0665964390257
2025.50000000000	-19.1046611164477
2026.50000000000	-19.1429464984864
2027.50000000000	-19.1814567751339
2028.50000000000	-19.2201744557954
2029.50000000000	-19.2591029972002
2030.50000000000	-19.2982350669642
2031.50000000000	-19.3375631238173
2032.50000000000	-19.3769431534717
2033.50000000000	-19.4162481227877
2034.50000000000	-19.4554805688580
2035.50000000000	-19.4946697739366
2036.50000000000	-19.5338168884867
2037.50000000000	-19.5729308216560
2038.50000000000	-19.6120113101473
2039.50000000000	-19.6510667652949
2040.50000000000	-19.6900873517622
2041.50000000000	-19.7290978586849
2042.50000000000	-19.7680025464349
2043.50000000000	-19.8067701160339
2044.50000000000	-19.8453864657146
2045.50000000000	-19.8838788252328
2046.50000000000	-19.9222337263127
2047.50000000000	-19.9604609843932
2048.50000000000	-19.9985621631931
2049.50000000000	-20.0365465823340
2050.50000000000	-20.0744076830491
2051.50000000000	-20.1121541614804
2052.50000000000	-20.1497425377161
2053.50000000000	-20.1871537957666
2054.50000000000	-20.2243904162309
2055.50000000000	-20.2614624121970
2056.50000000000	-20.2983584515770
2057.50000000000	-20.3350948844163
2058.50000000000	-20.3716739219769
2059.50000000000	-20.4080838225372
2060.50000000000	-20.4443397712798
2061.50000000000	-20.4804304780717
2062.50000000000	-20.5163580104089
2063.50000000000	-20.5521109151382
2064.50000000000	-20.5876854921086
2065.50000000000	-20.6230959711918
2066.50000000000	-20.6583261826203
2067.50000000000	-20.6933834756362
2068.50000000000	-20.7282701272646
2069.50000000000	-20.7629819676714
2070.50000000000	-20.7975201727461
2071.50000000000	-20.8318810808333
2072.50000000000	-20.8660608768439
2073.50000000000	-20.9000556152915
2074.50000000000	-20.9338622089733
2075.50000000000	-20.9674828169819
2076.50000000000	-21.0009138231772
2077.50000000000	-21.0341622819898
2078.50000000000	-21.0672147971190
2079.50000000000	-21.1000781752956
2080.50000000000	-21.1327452878150
2081.50000000000	-21.1652270837158
2082.50000000000	-21.1975395334565
2083.50000000000	-21.2297149836505
2084.50000000000	-21.2617442562498
2085.50000000000	-21.2936265333330
2086.50000000000	-21.3253615047862
2087.50000000000	-21.3569356455589
2088.50000000000	-21.3883530445195
2089.50000000000	-21.4196014219558
2090.50000000000	-21.4506887849471
2091.50000000000	-21.4815993922605
2092.50000000000	-21.5123531910622
2093.50000000000	-21.5429580739391
2094.50000000000	-21.5734056144169
2095.50000000000	-21.6036947999177
2096.50000000000	-21.6338218966771
2097.50000000000	-21.6637829147547
2098.50000000000	-21.6935736360220
2099.50000000000	-21.7231946333973
2100.50000000000	-21.7526385253913
2101.50000000000	-21.7819021607913
2102.50000000000	-21.8107598456276
2103.50000000000	-21.8389932432503
2104.50000000000	-21.8666281057613
2105.50000000000	-21.8936913516932
2106.50000000000	-21.9201995340280
2107.50000000000	-21.9461689449323
2108.50000000000	-21.9716208772978
2109.50000000000	-21.9965695827890
2110.50000000000	-22.0210260518491
2111.50000000000	-22.0450009298420
2112.50000000000	-22.0685103719071
2113.50000000000	-22.0915665649683
2114.50000000000	-22.1141764454775
2115.50000000000	-22.1363513831731
2116.50000000000	-22.1581005089926
2117.50000000000	-22.1794429111698
2118.50000000000	-22.2003756796129
2119.50000000000	-22.2208991415164
2120.50000000000	-22.2410234659154
2121.50000000000	-22.2607851033712
2122.50000000000	-22.2801673051027
2123.50000000000	-22.2992050296207
2124.50000000000	-22.3178568215007
2125.50000000000	-22.3361569967198
2126.50000000000	-22.3541386395116
2127.50000000000	-22.3717612296569
2128.50000000000	-22.3890575650373
2129.50000000000	-22.4060118534380
2130.50000000000	-22.4226785208741
2131.50000000000	-22.4390187939650
2132.50000000000	-22.4550402137774
2133.50000000000	-22.4707728934938
2134.50000000000	-22.4862231440383
2135.50000000000	-22.5013540042123
2136.50000000000	-22.5162159029269
2137.50000000000	-22.5308150553650
2138.50000000000	-22.5451147066242
2139.50000000000	-22.5591635607629
2140.50000000000	-22.5729465586808
2141.50000000000	-22.5864490320411
2142.50000000000	-22.5997175823436
2143.50000000000	-22.6127369817145
2144.50000000000	-22.6255127810608
2145.50000000000	-22.6380301386171
2146.50000000000	-22.6503143721030
2147.50000000000	-22.6623702894750
2148.50000000000	-22.6742023198040
2149.50000000000	-22.6857959596357
2150.50000000000	-22.6971940591374
2151.50000000000	-22.7083440265450
2152.50000000000	-22.7193068152261
2153.50000000000	-22.7300491544368
2154.50000000000	-22.7406116403958
2155.50000000000	-22.7509794912157
2156.50000000000	-22.7611565829015
2157.50000000000	-22.7711640587645
2158.50000000000	-22.7809698119467
2159.50000000000	-22.7905949310618
2160.50000000000	-22.8000428793133
2161.50000000000	-22.8093338901832
2162.50000000000	-22.8184365410089
2163.50000000000	-22.8273710182611
2164.50000000000	-22.8361402225579
2165.50000000000	-22.8447305790736
2166.50000000000	-22.8531779244266
2167.50000000000	-22.8614518349815
2168.50000000000	-22.8695716908357
2169.50000000000	-22.8775397962318
2170.50000000000	-22.8853587907772
2171.50000000000	-22.8930146955458
2172.50000000000	-22.9005261660099
2173.50000000000	-22.9078958333120
2174.50000000000	-22.9151094262687
2175.50000000000	-22.9221854938423
2176.50000000000	-22.9291260870764
2177.50000000000	-22.9359174263497
2178.50000000000	-22.9425773995566
2179.50000000000	-22.9490922902245
2180.50000000000	-22.9554796941455
2181.50000000000	-22.9617412000664
2182.50000000000	-22.9678635578608
2183.50000000000	-22.9738484925894
2184.50000000000	-22.9797130600375
2185.50000000000	-22.9854437180058
2186.50000000000	-22.9910572715248
2187.50000000000	-22.9965552084768
2188.50000000000	-23.0019093393518
2189.50000000000	-23.0071654655247
2190.50000000000	-23.0122811394304
2191.50000000000	-23.0173014963017
2192.50000000000	-23.0221843941650
2193.50000000000	-23.0269602702194
2194.50000000000	-23.0316158060904
2195.50000000000	-23.0361668162188
