--------------------------------	
CMIP6 CO2 Global Means
Averages of monthly data from Meinshausen
mole_fraction_of_carbon_dioxide_in_air
HDG 21 Jun 2018	
--------------------------------
2150.5	411.1090088
2151.5	410.7489929
2152.5	410.4020081
2153.5	410.0630188
2154.5	409.7340088
2155.5	409.4129944
2156.5	409.1019897
2157.5	408.7990112
2158.5	408.506012
2159.5	408.2210083
2160.5	407.9450073
2161.5	407.6790161
2162.5	407.4200134
2163.5	407.17099
2164.5	406.9309998
2165.5	406.6990051
2166.5	406.4750061
2167.5	406.2600098
2168.5	406.0540161
2169.5	405.8559875
2170.5	405.6669922
2171.5	405.4859924
2172.5	405.3129883
2173.5	405.1489868
2174.5	404.9930115
2175.5	404.8439941
2176.5	404.70401
2177.5	404.572998
2178.5	404.4490051
2179.5	404.3330078
2180.5	404.2250061
2181.5	404.125
2182.5	404.0329895
2183.5	403.947998
2184.5	403.8710022
2185.5	403.802002
2186.5	403.7409973
2187.5	403.6870117
2188.5	403.6419983
2189.5	403.6040039
2190.5	403.5750122
2191.5	403.553009
2192.5	403.5320129
2193.5	403.5050049
2194.5	403.473999
2195.5	403.4379883
2196.5	403.3989868
2197.5	403.3559875
2198.5	403.3099976
2199.5	403.2619934
2200.5	403.2109985
2201.5	403.1579895
2202.5	403.1029968
2203.5	403.04599
2204.5	402.9880066
2205.5	402.928009
2206.5	402.8659973
2207.5	402.8039856
2208.5	402.7399902
2209.5	402.6759949
2210.5	402.6099854
2211.5	402.5440063
2212.5	402.4769897
2213.5	402.4089966
2214.5	402.3410034
2215.5	402.2720032
2216.5	402.2019958
2217.5	402.1319885
2218.5	402.0620117
2219.5	401.9909973
2220.5	401.9200134
2221.5	401.8479919
2222.5	401.776001
2223.5	401.70401
2224.5	401.6319885
2225.5	401.5589905
2226.5	401.4859924
2227.5	401.4129944
2228.5	401.3399963
2229.5	401.2669983
2230.5	401.1929932
2231.5	401.1199951
2232.5	401.04599
2233.5	400.9719849
2234.5	400.8980103
2235.5	400.8250122
2236.5	400.7510071
2237.5	400.677002
2238.5	400.6029968
2239.5	400.5289917
2240.5	400.45401
2241.5	400.3800049
2242.5	400.3059998
2243.5	400.2319946
2244.5	400.1579895
2245.5	400.0840149
2246.5	400.0100098
2247.5	399.9360046
2248.5	399.8619995
2249.5	399.7879944
2250.5	399.7139893
2251.5	399.6400146
2252.5	399.5660095
2253.5	399.4920044
2254.5	399.4179993
2255.5	399.3439941
2256.5	399.2690125
2257.5	399.1940002
2258.5	399.1180115
2259.5	399.0419922
2260.5	398.9660034
2261.5	398.8900146
2262.5	398.8129883
2263.5	398.7369995
2264.5	398.6600037
2265.5	398.5830078
2266.5	398.506012
2267.5	398.4289856
2268.5	398.3519897
2269.5	398.2749939
2270.5	398.197998
2271.5	398.1220093
2272.5	398.0450134
2273.5	397.9679871
2274.5	397.8919983
2275.5	397.8160095
2276.5	397.7390137
2277.5	397.6629944
2278.5	397.5870056
2279.5	397.5119934
2280.5	397.4360046
2281.5	397.3609924
2282.5	397.2850037
2283.5	397.2099915
2284.5	397.1350098
2285.5	397.0610046
2286.5	396.9859924
2287.5	396.9119873
